threshold,precision,recall,f1
0.55,0.5297397769516728,0.7620320855614974,0.625
0.56,0.5383141762452107,0.7513368983957219,0.6272321428571429
0.5700000000000001,0.5402750491159135,0.7352941176470589,0.622876557191393
0.5800000000000001,0.5515151515151515,0.7299465240641712,0.6283084004602992
0.59,0.5585215605749486,0.7272727272727273,0.6318234610917538
0.6,0.5636743215031316,0.7219251336898396,0.6330597889800703
0.61,0.5692963752665245,0.713903743315508,0.6334519572953736
0.62,0.5726872246696035,0.6951871657754011,0.6280193236714976
0.63,0.5788288288288288,0.6871657754010695,0.628361858190709
0.64,0.5750577367205543,0.6657754010695187,0.6171003717472119
0.65,0.5853080568720379,0.660427807486631,0.6206030150753769
0.66,0.5872235872235873,0.6390374331550802,0.6120358514724712
0.67,0.589873417721519,0.6229946524064172,0.6059817945383615
0.68,0.599483204134367,0.6203208556149733,0.6097240473061761
0.6900000000000001,0.6205962059620597,0.6122994652406417,0.6164199192462988
0.7000000000000001,0.6451612903225806,0.5882352941176471,0.6153846153846154
0.7100000000000001,0.6504559270516718,0.5721925133689839,0.6088193456614509
0.72,0.6489028213166145,0.553475935828877,0.5974025974025974
0.73,0.6516129032258065,0.5401069518716578,0.5906432748538012
0.74,0.6644067796610169,0.5240641711229946,0.585949177877429
0.75,0.6810035842293907,0.5080213903743316,0.5819295558958653
0.76,0.6908396946564885,0.4839572192513369,0.5691823899371069
0.77,0.6907630522088354,0.45989304812834225,0.5521669341894061
0.78,0.6949152542372882,0.4385026737967914,0.5377049180327869
0.79,0.7177033492822966,0.40106951871657753,0.5145797598627787
0.8,0.7150259067357513,0.3689839572192513,0.48677248677248675
0.81,0.717391304347826,0.35294117647058826,0.4731182795698925
0.8200000000000001,0.7361963190184049,0.32085561497326204,0.44692737430167595
0.8300000000000001,0.75,0.3048128342245989,0.43346007604562736
0.8400000000000001,0.7676056338028169,0.2914438502673797,0.42248062015503873
0.85,0.7878787878787878,0.27807486631016043,0.41106719367588934
0.86,0.8103448275862069,0.25133689839572193,0.3836734693877551
0.87,0.8207547169811321,0.232620320855615,0.3625
0.88,0.8333333333333334,0.21390374331550802,0.3404255319148936
0.89,0.8461538461538461,0.17647058823529413,0.2920353982300885
0.9,0.8484848484848485,0.1497326203208556,0.2545454545454545
0.91,0.8679245283018868,0.12299465240641712,0.2154566744730679
0.92,0.8571428571428571,0.0962566844919786,0.17307692307692307
0.93,0.8214285714285714,0.06149732620320856,0.11442786069651742
0.9400000000000001,0.875,0.0374331550802139,0.07179487179487179
0.9500000000000001,1.0,0.01871657754010695,0.03674540682414698
0.9600000000000001,1.0,0.008021390374331552,0.015915119363395226
0.97,1.0,0.00267379679144385,0.005333333333333333
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
